text	motif
43	особенно потешно смеялись они когда мармеладов таскаемый за волосы кричал что это ему в наслаждение
102	даже старик не выдержал и усмехнулся
116	студент рассказывал о ней с каким-то особенным удовольствием и все смеялся а офицер с большим интересом слушал и просил студента прислать ему эту лизавету для починки белья
117	главное же чему удивлялся и смеялся студент было то что лизавета поминутно была беременна да ведь ты говоришь она урод
140	он даже усмехнулся на себя как вдруг другая
166	ишь лохмотьев каких набрал и спит с ними ровно с кладом и настасья закатилась своим болезненно-нервическим смехом
222	вдруг крикнула настасья и прыснула со смеху
249	“ а сам мигнул мальчишке чтобы дверь придержал да из-за застойки-то выхожу как он тут от меня прыснет да на улицу да бегом да в проулок только я и видел его
256	стало быть всего только и есть оправдания что тузили друг друга и хохотали
276	на все есть мера высокомерно продолжал лужин экономическая идея еще не есть приглашение к убийству и если только предположить а правда ль что вы перебил вдруг опять раскольников дрожащим от злобы голосом в котором слышалась какая-то радость обиды правда ль что вы сказали вашей невесте в тот самый час как от нее согласие получили что всего больше рады тому что она нищая потому что выгоднее брать жену из нищеты чтоб потом над ней властвовать и попрекать тем что она вами облагодетельствована
291	тут раскольников залился нервным смехом прямо в лицо заметову
317	он точно цеплялся за все и холодно усмехнулся подумав это потому что уж наверно решил про контору и твердо знал что сейчас все кончится
329	вы не амаль-иван а амалия людвиговна и так как я не принадлежу к вашим подлым льстецам как господин лебезятников который смеется теперь за дверью за дверью действительно раздался смех и крик сцепились
366	смеялась и тревожилась тоже дуня
425	он конечно себя ценит может быть слишком высоко но я надеюсь что он и меня ценит чего ты опять смеешься
451	он напряженно усмехнулся
453	раскольников до того смеялся что казалось уж и
454	того и надо было раскольникову из комнат можно было услышать что они вошли смеясь и все еще хохочут в прихожей
455	лицо его и вся фигура действительно были в эту минуту смешны и оправдывали смех раскольникова
456	порфирий петрович смеялся и желал смеяться но очевидно было что ему надо объяснений
463	неловко усмехнулся было раскольников особенно стараясь смотреть ему прямо в глаза но не смог утерпеть и вдруг прибавил я потому так заметил сейчас что вероятно очень много было закладчиков так что вам трудно было бы их всех помнить а вы напротив так отчетливо всех их помните и и глупо
469	за руки держать надо смеялся порфирий
473	раскольников усмехнулся опять
473	раскольников усмехнулся усиленному и умышленному искажению своей идеи
473	раскольников усмехнулся
479	да и так же усмехнулся раскольников не я в этом виноват
503	в лицо заглянул и помертвел старушонка сидела и смеялась так и заливалась тихим неслышным смехом из всех сил крепясь чтоб он ее не услышал
508	да вы чему смеетесь
559	это была какая-то безобразная шутка нелепость
560	все радовались через пять минут даже смеялись
590	раскольников усмехнулся
607	неосторожность была впрочем явная с обеих сторон выходило что порфирий петрович как будто смеется в глаза над своим гостем принимающим этот смех с ненавистью и очень мало конфузится от этого обстоятельства
614	вы смеетесь
660	вы все смеетесь и очень неудачно позвольте вам это заметить
665	петр петрович очень смеялся
675	вы смеетесь
676	петр петрович хихикал слушая но без особого увлечения
685	многие хихикали многим видимо было это приятно
712	лужин молчал и презрительно улыбался
754	иные действительно смеялись другие качали головами всем вообще было любопытно поглядеть на помешанную с перепуганными детьми
757	ну чего этот болван смеется указала она на одного из толпы
804	так вы рассудите мне теперь раскольников злобно усмехнулся
808	вы чего опять улыбаетесь что я такой шиллер
840	свидригайлов хохотал во все горло наконец кликнул филиппа расплатился и стал вставать
866	женщинам про эти вещицы поминать не следует он усмехнулся
895	по крайней мере при официальном свидетеле он чуть не усмехнулся этой новой мысли и поворотил в скую улицу
907	раскольников горько усмехнулся
928	илья петрович хохотал вполне довольный своими остротами
930	я очень рад до свидания-с улыбался раскольников
939	в самое последнее прощанье он странно улыбался на пламенные удостоверения сестры и
950	презирали его смеялись над ним смеялись над его преступлением те которые были гораздо его преступнее
