text	motif
6	он даже шел теперь делать пробу с замиранием сердца и нервною дрожью подошел он к преогромнейшему дому выходившему одною стеной на канаву а другою в-ю улицу
9	старуха полезла в карман за ключами и пошла в другую комнату за занавески
11	чувство бесконечного отвращения начинавшее давить и мутить его сердце еще в то время как он только шел к старухе достигло теперь такого размера и так ярко выяснилось что он не знал куда деться от тоски своей
21	когда единородная дочь моя в первый раз по желтому билету пошла и я тоже тогда пошел ибо дочь моя по желтому билету живет-с прибавил он в скобках с некоторым беспокойством смотря на молодого человека
28	а катерина ивановна не спустила вступилась ну и произошло и заходит к нам сонечка теперь более в сумерки и катерину ивановну облегчает и средства посильные доставляет живет же на квартире у портного капернаумова квартиру у них снимает а капернаумов хром и косноязычен и все многочисленнейшее семейство его тоже косноязычное
42	но верно ей тотчас же представилось что он идет в другие комнаты так как ихняя была проходная
42	сообразив это и не обращая уже более на него внимания она пошла к сенным дверям чтобы притворить их и вдруг вскрикнула увидев на самом пороге стоящего на коленках мужа
44	но рассудив что взять назад уже невозможно и что все-таки он и без того бы не взял он махнул рукой и пошел на свою квартиру
75	тяжело за двести рублей всю жизнь в гувернантках по губерниям шляться но я все-таки знаю что сестра моя скорее в негры пойдет к плантатору или в латыши к остзейскому немцу
79	он пошел сколько мог поскорее но на пути случилось с ним одно маленькое приключение которое на несколько минут привлекло
81	к довершению девушка шла нетвердо спотыкаясь и даже шатаясь во все стороны
87	та вдруг совсем открыла глаза посмотрела внимательно как будто поняла что-то такое встала со скамейки и пошла обратно в ту сторону откуда пришла
89	как письмо прочел так и пошел на васильевский остров к разумихину я пошел вот куда теперь помню
94	после того то он бросил скамейку и пошел почти побежал он хотел было поворотить назад к дому но домой идти ему стало вдруг ужасно противно там-то в углу в этом-то ужасном шкафу и созревало все это нервная дрожь его перешла в какую-то лихорадочную он чувствовал даже озноб на такой жаре ему становилось холодно
94	он вдруг совершенно спокойно как бы в смысле окончательного решения к разумихину я пойду это конечно но не теперь я к нему на другой день после того то и вдруг он опомнился
96	он пошел домой но дойдя уже до петровского острова остановился в полном изнеможении сошел с дороги вошел в кусты пал на траву и в ту же минуту заснул
98	и вот снится ему они идут с отцом по дороге к кладбищу и проходят мимо кабака он держит отца за руку и со страхом оглядывается на кабак
131	он шел дорогой тихо и степенно заглянув случайно одним глазом в лавочку он увидел что там на стенных часах уже десять минут восьмого
140	тотчас же он побежал с ними в спальню
141	бросив ключи и комод он побежал назад к телу схватил топор и намахнулся еще раз над старухой но не опустил
144	увидав его выбежавшего она задрожала как лист мелкою дрожью и по всему лицу ее побежали судороги приподняла руку раскрыла было рот но все-таки не вскрикнула и медленно задом стала отодвигаться от него в угол пристально в упор смотря на него но все не крича точно ей воздуху недоставало чтобы крикнуть
145	раскольников совсем было потерялся схватил ее узел бросил его опять и побежал в прихожую
146	ни за что на свете не пошел бы он теперь к сундуку и даже в комнаты
154	с криком вырвался кто-то внизу из какой-то квартиры и не то что побежал а точно упал вниз по лестнице крича во всю глотку митька
154	он побежал было назад опять в квартиру
167	принесу осталось нет я пойду я сейчас пойду бормотал он становясь на ноги
188	раскольников поднял свою шляпу и пошел к дверям но до дверей он не дошел когда он очнулся то увидал что сидит на стуле что его поддерживает справа какой-то человек что слева стоит другой человек с желтым
192	так порешил он еще ночью в бреду в те мгновения когда он помнил это несколько раз порывался встать и идти поскорей поскорей и все выбросить
194	слева параллельно глухой стене и тоже сейчас от ворот шел деревянный забор шагов на двадцать в глубь двора и потом уже делал перелом влево
201	сказал он вдруг и пошел к двери
221	рассердился да и пошел была не была на другой день в адресный стол и представь себе в две минуты тебя мне там разыскали
229	он пошел к печке отворил ее и начал шарить в золе кусочки бахромы от панталон и лоскутья разорванного кармана так и валялись как он их тогда бросил стало быть никто не смотрел
248	и пошел а митрея я с ним в тот час не видал
250	погодя немного минут баба в коровник пошла и видит в щель он рядом в сарае к балке кушак привязал петлю сделал стал на обрубок и хочет себе петлю на шею надеть баба вскрикнула благим матом сбежались так вот ты каков
252	только что он увидал серьги как тотчас же забыв и квартиру и митьку схватил шапку и побежал к душкину и как известно получил от него рубль а ему соврал что нашел на панели и тотчас же загулял
281	странное дело казалось он вдруг стал совершенно спокоен не было ни полоумного бреду как давеча ни панического страху как во все последнее время
283	раскольников пошел прямо и вышел к тому углу на сенной где торговали мещанин и баба разговаривавшие тогда с лизаветой но их теперь не было
308	но лодки было уж не надо городовой сбежал по ступенькам схода к канаве сбросил с себя шинель сапоги и кинулся в воду
310	он шел и смотрел в землю
312	а журнал это есть братец ты мой такие картинки крашеные и идут они сюда к здешним портным каждую субботу по почте из-за границы с тем то есть как кому одеваться как мужскому равномерно и женскому полу
313	раскольников встал и пошел в другую комнату где прежде стояли укладка постель и комод комната показалась ему ужасно маленькою без мебели
315	а пойдем говорит в контору там все докажу
317	раскольников поворотил вправо и пошел на толпу
320	раскольников назвал и себя дал свой адрес и всеми силами как будто дело шло о родном отце уговаривал перенести поскорее бесчувственного мармеладова в его квартиру
351	ничего пойдем ты будешь свидетелем они стали взбираться на лестницу и у разумихина мелькнула мысль что зосимов-то может быть прав
358	ведь этот подлец петр петрович не мог разве лучше вам квартиру а впрочем знаете я немного пьян и потому обругал не обращайте но я пойду к здешней хозяйке настаивала пульхерия александровна я умолю ее чтоб она дала мне и дуне угол на эту ночь
371	выражение лица ее всегда было более серьезное чем веселое вдумчивое зато как же шла улыбка к этому лицу как же шел к ней смех веселый молодой беззаветный
377	они пошли молча и только подходя к квартире раскольникова разумихин сильно озабоченный прервал молчание
384	он шел домой и уходя спешил заглянуть на больного
403	дамы потихоньку пошли за отправившимся по лестнице вперед разумихиным и когда уже поравнялись в четвертом этаже с хозяйкиною дверью то заметили что хозяйкина дверь отворена на маленькую щелочку и что два быстрые черные глаза рассматривают их обеих из темноты
408	да да вы совершенно правы вот я поскорей поступлю в университет и тогда все пойдет как по маслу зосимов начавший свои умные советы отчасти и для эффекта перед дамами был конечно несколько озадачен когда кончив речь и взглянув на своего слушателя заметил в лице его решительную насмешку
411	говорит она нам вдруг что ты лежишь в белой горячке и только что убежал тихонько от доктора в бреду на улицу и что тебя побежали отыскивать
413	это кровь оттого что вчера когда я шатался несколько в бреду я наткнулся на одного раздавленного человека чиновника одного в бреду
445	и не знала что вы тоже от жильцов живете прощайте-с я катерине ивановне она ужасно рада была что наконец ушла пошла потупясь торопясь чтобы поскорей как-нибудь уйти у них из виду чтобы пройти как-нибудь поскорей эти двадцать шагов до поворота направо в улицу и остаться наконец одной и там идя спеша ни на кого не глядя ничего не
447	он пошел вслед не спуская с нее глаз с противоположного тротуара пройдя шагов пятьдесят перешел опять на ту сторону по которой шла соня догнал ее и пошел за ней оставаясь в пяти шагах расстояния
493	он скоро догнал его но некоторое время шел сзади наконец поравнялся с ним и заглянул ему сбоку в лицо
498	потому в-третьих что возможную справедливость положил наблюдать в исполнении вес и меру и арифметику из всех вшей выбрал самую наибесполезнейшую и убив ее положил взять у ней ровно столько сколько мне надо для первого шага и ни больше ни меньше а остальное стало быть так и пошло бы на монастырь по духовному завещанию ха-ха
500	раскольников шел издали сердце его стукало повернули в переулок тот все не оборачивался
553	мы сами виноваты что на несправедливое дело пошли а всех больше я однако ж пульхерия александровна горячился в бешенстве лужин вы связали меня данным словом от которого теперь отрекаетесь и наконец наконец я вовлечен был так сказать через то в издержки эта последняя претензия до того была в характере петра петровича что раскольников бледневший от гнева и от усилий сдержать его вдруг не выдержал и расхохотался
571	воротись ступай к ним прибавил он вдруг и быстро повернувшись пошел из дому не стану теперь описывать что было в тот вечер у пульхерии александровны как воротился к ним разумихин как их успокоивал как клялся что надо дать отдохнуть роде в болезни клялся что родя придет непременно будет ходить каждый день что он очень очень расстроен что не надо раздражать его как он разумихин будет следить за ним достанет ему доктора хорошего лучшего целый консилиум одним словом с этого вечера разумихин стал у них сыном и братом
582	на улицу всею гурьбой пойдут она будет кашлять и просить и об стену где-нибудь головой стучать как сегодня а дети плакать а там упадет в часть свезут в больницу умрет а дети ох нет
608	для раскольникова он понял что верно порфирий петрович и давеча совсем не конфузился а напротив сам он раскольников попался пожалуй в капкан что тут явно существует что-то чего он не знает какая-то цель что может все уже подготовлено и сейчас сию минуту обнаружится и обрушится он тотчас же пошел прямо к делу встал с места и взял фуражку
622	ведь вот будь вы действительно на самом-то деле преступны али там как-нибудь замешаны в это проклятое дело ну стали бы вы помилуйте сами напирать что не в бреду вы все это делали а напротив в полной памяти
629	он схватил фуражку и пошел к дверям
657	я не потому не пойду на поминки что была эта неприятность
697	к государю к государю к самому царю побегу милосердому в ноги брошусь сейчас же сегодня же я сирота
743	да да лучше лучше подхватила она с увлечением как пойдешь на страдание тогда и наденешь
746	и бьется ах да она говорит и кричит что так как ее все теперь бросили то она возьмет детей и пойдет на улицу шарманку носить а дети будут петь и плясать и она тоже и деньги собирать и каждый день под окно к генералу ходить пусть говорит видят как благородные дети чиновного отца по улицам нищими ходят
750	все равно прощай он отворотился и пошел от нее к окну
750	и пошла к двери
771	впрочем в эти два-три дня после смерти катерины ивановны он уже раза два встречался с свидригайловым всегда почти в квартире у сони куда он заходил как-то без цели но всегда почти на минуту
774	случалось ему уходить за город выходить на большую дорогу даже раз он вышел в какую-то рощу но чем уединеннее было место тем сильнее он сознавал как будто чье-то близкое и тревожное присутствие не то чтобы страшное а как-то уж очень досаждающее так что поскорее возвращался в город смешивался с толпой входил в трактиры в распивочные шел на толкучий на сенную
864	да и не поверит вам никто ну с какой стати девушка пошла одна к одинокому человеку на квартиру
877	аркадий иванович встал засмеялся поцеловал невесту потрепал ее по щечке подтвердил что скоро приедет и заметив в ее глазах хотя и детское любопытство но вместе с тем и какой-то очень серьезный немой вопрос подумал поцеловал ее в другой раз и тут же искренно подосадовал в душе что подарок пойдет немедленно на сохранение под замок благоразумнейшей из матерей
886	он бросился ловить ее но мышь не сбегала с постели а мелькала зигзагами во все стороны скользила из-под его пальцев перебегала по руке и вдруг юркнула под подушку он сбросил подушку но в одно мгновение почувствовал как что-то вскочило ему за пазуху шоркает по телу и уже за спиной под рубашкой
889	и кустов летели в окно брызги было темно как в погребе так что едва-едва можно было различить только какие-то темные пятна обозначавшие предметы
891	он взял ее на руки пошел к себе в нумер посадил на кровать и стал раздевать
894	свидригайлов пошел по скользкой грязной деревянной мостовой по направлению к малой неве
905	что бог пошлет помолитесь только за меня раскольников пошел к дверям но она ухватилась за него и отчаянным взглядом смотрела ему в глаза
905	раскольников шел в свою квартиру он спешил
919	я один вскричал он в малодушной досаде и почти озлобившись пошел к дверям
923	раскольников почувствовал и понял в эту минуту раз навсегда что соня теперь с ним навеки и пойдет за ним хоть на край света куда бы ему ни вышла судьба
955	один из арестантов взял конвойного и пошел с ним в крепость за каким-то инструментом другой стал изготовлять дрова и накладывать в печь
