text	motif
16	когда облонский узнал что поезд на котором приехала анна раздавил сцепщика он в смятении побежал к месту происшествия и потом страдая морщась готовый заплакать все повторял ах анна если бы ты видела
21	на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
21	это стало особенно ощутимым когда долли с детьми приехала в имение на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
21	на другой день по их приезде пошел проливной дождь и ночью потекло в коридоре и в детской так что кроватки перенесли в гостиную
60	дело было прочтено степан аркадьич встал потянувшись и отдавая дань либеральности времени в присутствии достал папироску и пошел в свой кабинет
61	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
61	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
76	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
76	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
83	он шел по дорожке к катку и говорил себе надо не волноваться надо успокоиться
83	ix в 4 часа чувствуя свое бьющееся сердце левин слез с извозчика у зоологического сада и пошел дорожкой к горам и катку наверное зная что найдет ее там потому что видел карету щербацких у подъезда
83	он шел по дорожке к катку и говорил себе надо не волноваться надо успокоиться
83	чувствуя свое бьющееся сердце левин слез с извозчика у зоологического сада и пошел дорожкой к горам и катку наверное зная что найдет ее там потому что видел карету щербацких у подъезда
89	подумал левин и побежал к старой француженке с седыми букольками сидевшей на скамейке
89	подумал левин и побежал к старой француженке с седыми букольками сидевшей на скамейке
146	он извинился и пошел было в вагон но почувствовал необходимость еще раз взглянуть на нее не потому что она была очень красива не по тому изяществу и скромной грации которые видны были во всей ее фигуре но потому что в выражении миловидного лица когда она прошла мимо его было что-то особенно ласковое и нежное
146	xviii вронский пошел за кондуктором в вагон и при входе в отделение остановился чтобы дать дорогу выходившей даме
146	он извинился и пошел было в вагон но почувствовал необходимость еще раз взглянуть на нее не потому что она была очень красива не по тому изяществу и скромной грации которые видны были во всей ее фигуре но потому что в выражении миловидного лица когда она прошла мимо его было что-то особенно ласковое и нежное
158	ну пойдем я тебя проведу в твою комнату продолжала она стараясь отдалить сколько возможно минуту объяснения
158	ну пойдем я тебя проведу в твою комнату
158	ну пойдем я тебя проведу в твою комнату продолжала она стараясь отдалить сколько возможно минуту объяснения
165	ну пойдем я тебя проведу в твою комнату
165	ну пойдем я тебя проведу в твою комнату сказала она вставая и по дороге долли обняла анну
211	один этот вопрос ввел левина во все подробности хозяйства которое было большое и сложное и он прямо из коровника пошел в контору и поговорив с приказчиком и с семеном рядчиком вернулся домой и прямо прошел наверх в
216	после обеда анна пошла одеваться в свою комнату и долли
224	она чувствовала что глаза ее раскрываются больше и больше что пальцы на руках и ногах нервно движутся что в груди что-то давит дыханье и что все образы и звуки в этом колеблющемся полумраке с необычайною
245	чтобы совершенно успокоиться она пошла в детскую и весь вечер провела с сыном сама уложила его спать перекрестила и покрыла его одеялом
245	чтобы совершенно успокоиться она пошла в детскую и весь вечер провела с сыном сама уложила его спать перекрестила и покрыла его одеялом
247	допив со сливками и хлебом свой второй стакан чая алексей александрович встал и пошел в свой кабинет
247	допив со сливками и хлебом свой второй стакан чая алексей александрович встал и пошел в свой кабинет
289	дело было прочтено степан аркадьич встал потянувшись и отдавая дань либеральности времени в присутствии достал папироску и пошел в свой кабинет
289	когда дело было прочтено степан аркадьич встал потянувшись и отдавая дань либеральности времени в присутствии достал папироску и пошел в свой кабинет
291	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
291	ну пойдем в кабинет сказал степан аркадьич знавший самолюбивую и озлобленную застенчивость своего приятеля и схватив его за руку он повлек его за собой как будто проводя между опасностями
306	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
306	речь шла о модном вопросе есть ли граница между психическими и физиологическими явлениями в деятельности человека и где она
315	он шел по дорожке к катку и говорил себе надо не волноваться надо успокоиться
