text	motif
39	iii одевшись степан аркадьич прыснул на себя духами вытянул рукава рубашки привычным движением рассовал по карманам папиросы бумажник спички часы с двумя цепочками и брелоками и встряхнув платок чувствуя
53	степан аркадьич вспомнил свою шутку об этом аккуратном плешивом часовщике что немец сам был заведен на всю жизнь чтобы заводить часы и улыбнулся
53	степан аркадьич любил хорошую шутку
53	степан аркадьич вспомнил свою шутку об этом аккуратном плешивом часовщике что немец сам был заведен на всю жизнь чтобы заводить часы и улыбнулся
53	степан аркадьич любил хорошую шутку
59	и глаза его смеялись при чтении доклада
59	и глаза его смеялись при чтении доклада
63	степан аркадьич смеялся над этим и любил это
63	степан аркадьич смеялся над этим и любил это
84	она была улыбка озарявшая все вокруг
84	он подошел к горам на которых гремели цепи спускаемых и поднимаемых салазок грохотали катившиеся салазки и звучали веселые голоса
84	она была улыбка озарявшая все вокруг
84	он подошел к горам на которых гремели цепи спускаемых и поднимаемых салазок грохотали катившиеся салазки и звучали веселые голоса
86	твердо вынув руки из маленькой муфты висевшей на снурке она держала их наготове и глядя на левина которого она узнала улыбалась ему и своему страху
86	она катилась не совсем твердо вынув руки из маленькой муфты висевшей на снурке она держала их наготове и глядя на левина которого она узнала улыбалась ему и своему страху
99	степан аркадьич весело улыбался
99	степан аркадьич весело улыбался
118	княгиня улыбалась тому как огромно и значительно кажется ей бедняжке то что происходит теперь в ее душе
118	княгиня улыбалась тому как огромно и значительно кажется ей бедняжке то что происходит теперь в ее душе
147	мать его сухая старушка с черными глазами и букольками щурилась вглядываясь в сына и слегка улыбалась тонкими губами
147	мать его сухая старушка с черными глазами и букольками щурилась вглядываясь в сына и слегка улыбалась тонкими губами
149	каренина стояла неподвижно держась чрезвычайно прямо и глаза ее улыбались
149	каренина стояла неподвижно держась чрезвычайно прямо и глаза ее улыбались
164	ведь мы смеялись бывало над ним что он к каждому слову прибавлял долли удивительная женщина
164	ведь мы смеялись бывало над ним что он к каждому слову прибавлял долли удивительная женщина
170	кити молча улыбалась
170	кити молча улыбалась
187	анна улыбалась и улыбка передавалась
189	хозяин улыбался одобрительно
189	хозяин улыбался одобрительно
224	она презрительно усмехнулась
224	она презрительно усмехнулась и опять взялась за книгу но уже решительно не могла понимать того что читала
224	она презрительно усмехнулась и опять взялась за книгу но уже решительно не могла понимать того что читала
224	она презрительно усмехнулась
250	из-за двери еще на свой звонок он услыхал хохот мужчин и французский лепет женского голоса и крик петрицкого если кто из злодеев то не пускать
250	из-за двери еще на свой звонок он услыхал хохот мужчин и французский лепет женского голоса и крик петрицкого если кто из злодеев то не пускать
268	одевшись степан аркадьич прыснул на себя духами вытянул рукава рубашки привычным движением рассовал по карманам папиросы бумажник спички часы с двумя цепочками и брелоками и встряхнув платок чувствуя себя чистым душистым здоровым и физически веселым несмотря на свое несчастье вышел слегка подрагивая на каждой ноге в столовую где уже ждал его кофей и рядом с кофеем письма и бумаги из присутствия
282	степан аркадьич вспомнил свою шутку об этом аккуратном плешивом часовщике что немец сам был заведен на всю жизнь чтобы заводить часы и улыбнулся
282	степан аркадьич любил хорошую шутку
282	степан аркадьич вспомнил свою шутку об этом аккуратном плешивом часовщике что немец сам был заведен на всю жизнь чтобы заводить часы и улыбнулся
282	степан аркадьич любил хорошую шутку
289	и глаза его смеялись при чтении доклада
289	и глаза его смеялись при чтении доклада
292	степан аркадьич смеялся над этим и любил это
292	степан аркадьич смеялся над этим и любил это
315	он подошел к горам на которых гремели цепи спускаемых и поднимаемых салазок грохотали катившиеся салазки и звучали веселые голоса
315	он подошел к горам на которых гремели цепи спускаемых и поднимаемых салазок грохотали катившиеся салазки и звучали веселые голоса
316	она была улыбка озарявшая все вокруг
316	она была улыбка озарявшая все вокруг
318	твердо вынув руки из маленькой муфты висевшей на снурке она держала их наготове и глядя на левина которого она узнала улыбалась ему и своему страху
332	степан аркадьич весело улыбался
332	степан аркадьич весело улыбался
352	княгиня улыбалась тому как огромно и значительно кажется ей бедняжке то что происходит теперь в ее душе
352	княгиня улыбалась тому как огромно и значительно кажется ей бедняжке то что происходит теперь в ее душе
384	мать его сухая старушка с черными глазами и букольками щурилась вглядываясь в сына и слегка улыбалась тонкими губами
384	мать его сухая старушка с черными глазами и букольками щурилась вглядываясь в сына и слегка улыбалась тонкими губами
386	каренина стояла неподвижно держась чрезвычайно прямо и глаза ее улыбались
386	каренина стояла неподвижно держась чрезвычайно прямо и глаза ее улыбались
402	ведь мы смеялись бывало над ним что он к каждому слову прибавлял долли удивительная женщина
402	ведь мы смеялись бывало над ним что он к каждому слову прибавлял долли удивительная женщина
408	кити молча улыбалась
408	кити молча улыбалась
428	анна улыбалась и улыбка передавалась ему
428	анна улыбалась и улыбка передавалась
430	хозяин улыбался одобрительно
430	хозяин улыбался одобрительно
468	она презрительно усмехнулась
468	она презрительно усмехнулась
468	она презрительно усмехнулась и опять взялась за книгу но уже решительно не могла понимать того что читала
468	она презрительно усмехнулась и опять взялась за книгу но уже решительно не могла понимать того что читала
496	из-за двери еще на свой звонок он услыхал хохот мужчин и французский лепет женского голоса и крик петрицкого если кто из злодеев то не пускать
496	из-за двери еще на свой звонок он услыхал хохот мужчин и французский лепет женского голоса и крик петрицкого если кто из злодеев то не пускать
596	спросил облонский обращая внимание левина на протяжное гуканье как будто тонким голоском шаля ржал жеребенок
596	спросил облонский обращая внимание левина на протяжное гуканье как будто тонким голоском шаля ржал жеребенок
653	из середины и извне круга все теснились к столбу и кавалергардская группа солдат и офицеров громкими возгласами выражала радость ожидаемого торжества своего офицера и товарища
653	из середины и извне круга все теснились к столбу и кавалергардская группа солдат и офицеров громкими возгласами выражала радость ожидаемого торжества своего офицера и товарища
658	лошадь покосилась сильнее оскалилась и прижала ухо
658	лошадь покосилась сильнее оскалилась и прижала ухо
684	он улыбнулся своею холодною улыбкой
684	он улыбнулся своею холодною улыбкой
686	алексей александрович улыбнулся своею улыбкой только открывавшею зубы но ничего более не говорившею
686	алексей александрович улыбнулся своею улыбкой только открывавшею зубы но ничего более не говорившею
694	он увидел эту улыбку и странное заблуждение нашло на него
694	он увидел эту улыбку и странное заблуждение нашло на него
694	она улыбается над моими подозрениями
694	она улыбается над моими подозрениями
713	кити видела что варенька с трудом удерживала улыбку при словах что ее нужно провожать
713	кити видела что варенька с трудом удерживала улыбку при словах что ее нужно провожать
715	заметила еще что когда она застала у нее католического священника мадам шталь старательно держала свое лицо в тени абажура и особенно улыбалась
715	заметила еще что когда она застала у нее католического священника мадам шталь старательно держала свое лицо в тени абажура и особенно улыбалась
719	она вспоминала наивную радость выражавшуюся на круглом добродушном лице анны павловны при их встречах вспоминала их тайные переговоры о больном заговоры о том чтоб отвлечь его от работы которая была ему запрещена и увести его гулять привязанность меньшого мальчика называвшего ее моя кити не хотевшего без нее ложиться спать
719	она вспоминала наивную радость выражавшуюся на круглом добродушном лице анны павловны при их встречах вспоминала их тайные переговоры о больном заговоры о том чтоб отвлечь его от работы которая была ему запрещена и увести его гулять привязанность меньшого мальчика называвшего ее моя кити не хотевшего без нее ложиться спать
733	полковник как всегда улыбался шуткам князя но насчет европы которую он внимательно изучал как он думал он держал сторону княгини
733	она испытывала чувство вроде того какое испытывала в детстве когда под наказанием была заперта в своей комнате и слушала веселый смех сестер
733	полковник как всегда улыбался шуткам князя но насчет европы которую он внимательно изучал как он думал он держал сторону княгини
