text	motif
23	переходите сюда chère hélène 49 княжна элен улыбалась она поднялась с тою же неизменяющеюся улыбкой вполне красивой женщины с которою она вошла в гостиную
34	72 73 князь андрей усмехнулся прямо глядя в лицо анны павловны
34	князь андрей усмехнулся
46	князь ипполит смеялся отрывисто стоя на крыльце и дожидаясь виконта которого он обещал довезти до дому
49	князь андрей усмехнулся
66	пьер улыбался и ничего не говорил
73	но дамы невольно смеялись и сами
75	и он представив как махал руками квартальный опять захохотал звучным и басистым смехом колебавшим всё его полное тело как смеются люди всегда хорошо евшие и особенно пившие
77	она смеялась чему-то толкуя отрывисто про куклу которую вынула из-под юбочки
108	пьер улыбнулся своею доброю улыбкой как будто боясь за своего собеседника как бы он не сказал чего-нибудь такого в чем стал бы раскаиваться
126	соня улыбалась парадно но видимо мучилась ревностью то бледнела то краснела и всеми силами прислушивалась к тому чтò говорили между собою николай и жюли
130	все смеялись не ответу марьи дмитриевны но непостижимой смелости и ловкости этой девочки умевшей и смевшей так обращаться с марьей дмитриевной
132	граф распустив карты веером с трудом удерживался от привычки послеобеденного сна и всему смеялся
148	княжна улыбнулась как улыбаются люди которые думают что знают дело больше чем те с кем разговаривают
211	239 князь андрей улыбался глядя на сестру как мы улыбаемся слушая людей которых нам кажется что мы насквозь видим
235	господа свиты разговаривали между собой и иногда смеялись
236	несвицкий смеялся и толкал других чтобы они смотрели на забавника
245	долохов усмехнулся
249	но кутузов кротко улыбался всё с тем же выражением которое говорило что он имеет право предполагать это
272	он почувствовал радость и в то же мгновение ему стало жалко несчастного стоявшего перед ним человека но надо было до конца довести начатое дело
323	ils m ’ ont reçu avec ma nouvelle comme un chien dans un jeu de quilles 263 билибин усмехнулся и распустил складки кожи
331	ипполит смеялся громче всех
346	винюсь брат над маком смеялись а самим еще хуже приходится сказал несвицкий
348	по звуку этих голосов по невниманию с которым взглянул на него козловский по непочтительности измученного писаря по тому что писарь и козловский сидели так близко от главнокомандующего на полу около кадушки и по тому что казаки державшие лошадей смеялись громко под окном дома по всему этому князь андрей чувствовал что должно было случиться что-нибудь важное и несчастливое
406	в лицо полковому командиру а рот улыбался
412	первое чтò он увидел выезжая на то пространство которое занимали пушки тушина была отпряженная лошадь с перебитою ногой которая ржала около запряженных лошадей
452	331 все очень смеялись
453	князь василий представлял всхлипыванья сергея кузьмича и в это время обегал взглядом дочь и в то время как он смеялся выражение его лица говорило так так всё хорошо идет нынче всё решится
456	князь василий улыбается и пьер видит что все все улыбаются на него и на элен
456	ну чтò ж это правда и он сам улыбается своею кроткою детскою улыбкой и элен улыбается
456	князь василий улыбается и пьер видит что все все улыбаются на него и на элен
529	казалось сама армия этим легким движением выражала свою радость при приближении государей
538	другой красный толстый несвицкий лежал на постели подложив руки под голову и смеялся с присевшим к нему офицером
573	вейротер на все возражения отвечал твердою презрительной улыбкою очевидно вперед приготовленною для всякого возражения независимо от того чтò бы ему ни говорили
574	ma foi 380 вейротер усмехнулся опять тою улыбкой которая говорила что ему неприятель потушил огни и слышен непрерывный шум в его лагере сказал он
660	за дверью послышался смех
661	наташа смеялась при всяком слове которое он говорил и которое она говорила не потому чтобы было смешно то чтò они говорили но потому что ей было весело и она не в силах была удерживать своей радости выражавшейся смехом
661	ростов почувствовал как под влиянием жарких лучей любви в первый раз через полтора года на душе его и на лице распускалась та детская улыбка которою он ни разу не улыбался с тех пор как выехал из дома
665	и наташа встала на цыпочках и прошлась из комнаты так как делают танцовщицы но улыбаясь так как только улыбаются счастливые 15-тилетние девочки
671	смеется над нашим братом стариками
704	я не какая-нибудь дура поди сам попробуй allez vous promener 398 и теперь долохов вот он сидит на снегу и насильно улыбается и умирает может быть притворным каким-то молодечеством отвечая на мое раскаяние
713	глаза ее улыбались ожидая губка с усиками поднялась и детски-счастливо осталась поднятою
741	ростов усмехнулся
783	масон улыбнулся своею кроткою отеческою улыбкой
791	пьеру было больно от притянутых узлом волос он морщился от боли и улыбался от стыда чего-то
804	не смеются ли надо мной
857	князь андрей молча глядел на пьера и насмешливо улыбался
883	вступив снова в эти определенные условия полковой жизни ростов испытал радость и успокоение подобные тем которые чувствует усталый человек ложась на отдых
888	ростов принял шутку за оскорбление и вспыхнув наговорил офицеру таких неприятных вещей что денисов с трудом мог удержать обоих от дуэли
908	но не это поразило ростова его поразило то что денисов как будто не рад был ему и неестественно ему улыбался
992	ввечеру сошел к графине и рассказал смешную историю о б и только тогда вспомнил что этого не должно было делать когда все уже громко смеялись
994	кроме тех оснований что он несколько раз спрашивал не находится ли в нашей ложе n и s на чтò я не мог ему отвечать кроме того он по моим наблюдениям не способен чувствовать уважения к нашему святому ордену и слишком занят и доволен внешним человеком чтобы желать улучшения духовного я не имел оснований сомневаться в нем но он мне казался неискренним и всё время когда я стоял с ним с глазу на глаз в темной храмине мне казалось что он презрительно улыбается на мои слова и хотелось действительно уколоть его обнаженную грудь шпагой которую я держал приставленную к ней
1004	хотя некоторые вольнодумцы и улыбались когда им говорили про достоинства берга нельзя было не согласиться что берг был исправный храбрый офицер на отличном счету у начальства и нравственный молодой человек с блестящею карьерой впереди и даже прочным положением в обществе
1049	еще из передней князь андрей услыхал громкие голоса и звонкий отчетливый хохот хохот похожий на тот каким смеются на сцене
1049	князь андрей никогда не слыхал смеха сперанского и этот звонкий тонкий смех государственного человека странно поразил его
1050	громко басил столыпин пережевывая кусок хлеба с сыром тихим смехом шипел жерве и тонко отчетливо смеялся сперанский
1050	князь андрей с удивлением и грустью разочарования слушал его смех и смотрел на смеющегося сперанского
1051	магницкий стал трунить над горячностью столыпина жерве вставил шутку и разговор принял опять прежнее веселое направление
1052	князь андрей не смеялся и боялся что он будет тяжел для этого общества
1062	оба супруга переглянулись самодовольною улыбкой
1093	он редко смеялся но зато когда он смеялся то отдавался весь своему смеху и всякий раз после этого смеха она чувствовала себя ближе к нему
1093	расположение духа и тогда она особенно любила слушать и смотреть как князь андрей смеялся
1130	петя чему-то смеялся и бил и дергал свою лошадь
1163	из-за ширм слышался женский смех и шопот
1164	был тоже весел он не только не обиделся смеху брата и сестры ему в голову не могло притти чтобы могли смеяться над его жизнию а сам присоединился к их беспричинному смеху
1252	он глядел перед собою и тихо улыбался
1260	он кротко смеялся над ее простодушною хитростью но выслушивал
1260	борис чуть заметно улыбался слушая мать
1275	одна m-llе bourienne приятно улыбалась
1289	голая элен сидела подле нее и одинаково всем улыбалась и точно так
1305	он несколько раз дразнил отца портя свою карьеру и смеялся над всеми почестями
1311	с лица наташи не сходила улыбка удовольствия
1338	долохов презрительно и снисходительно улыбался когда анатоль вышел
1374	да я здоров отвечал он на вопрос пьера и усмехнулся
1472	он поспешно кивал головой на слова чернышева и иронически улыбался слушая его слова о том что государь осматривает укрепления которые он сам пфуль заложил по своей теории
1480	он беспрестанно иронически смеялся доказывал и наконец презрительно бросил доказывать как бросает математик поверять различными способами раз доказанную верность задачи
1498	как только он вышел все офицеры разразились громким хохотом а марья генриховна до слез покраснела и тем сделалась еще привлекательнее на глаза всех офицеров
1520	не было никакой радости в жизни а жизнь проходила
1590	преимущественно не понимала княжна марья всего значения этой войны потому что старый князь никогда не говорил про нее не признавал ее и смеялся за обедом над десалем говорившим об этой войне
1693	дорогой в богучарово в княжеское именье с усадьбой где они надеялись найти большую дворню и хорошеньких девушек они то расспрашивали лаврушку о наполеоне и смеялись его рассказам то перегонялись пробуя лошадь ильина
1711	гусарский подполковник усмехнулся в усы на тон денщика слез с лошади отдал ее вестовому и подошел к болконскому слегка поклонившись ему
1715	на лице его выражалась радость успокоения человека намеревающегося отдохнуть после представительства
1738	пьер с трудом скрывал улыбку слушая слова управляющего
1838	что знакомая смеялся другой солдат на присевшего мужика под пролетевшим ядром
1839	ай нашему барину чуть шляпку не сбила показывая зубы смеялся на пьера краснорожий шутник
1839	ну вы лисицы смеялся другой на изгибающихся ополченцев входивших на батарею за раненым
1977	наташа засмеялась графиня тоже слабо улыбалась
2032	ишь ты отвечал игнат дивуясь на то как всё более и более улыбалось его лицо в зеркале
2097	831 француз посмотрел на преступное лицо пьера и усмехнулся
2105	слышны были их смех и разговор на непонятном друг для друга языке
2145	пьер изредка поглядывал на нее и слегка улыбался
2171	он почувствовал такую радость как будто в первый раз всё это видел
2177	муж улыбался угрюмо жена весело
2239	он радостно улыбался слушая такие рассказы вставляя слова и делая вопросы клонившиеся к тому чтоб уяснить себе благообразие того чтò ему рассказывали
2292	все генералы были в расстегнутых сюртуках с красными оживленными лицами и громко смеялись стоя полукругом
2326	и всякий раз как он взглядывал на свои босые ноги на лице его пробегала улыбка оживления и самодовольства
2352	ха ха ха смеялся пьер
2353	смеялся он с выступившими на глаза слезами
2353	какой-то человек встал и подошел посмотреть о чем один смеется этот странный большой человек
2408	али скрючило смеялись ему казаки и тихон нарочно скорчившись и делая рожи притворяясь что он сердится самыми смешными ругательствами бранил французов
2412	тихон зашел сзади и петя слышал как смеялись с ним и над ним казаки о каких-то сапогах которые он бросил
2412	денисов улыбнулся и петя залился веселым смехом к которому присоединился и сам тихон
2413	когда прошел смех овладевший им при словах и улыбке тихона и петя понял на мгновенье что тихон этот убил человека ему сделалось неловко
2459	пьер посмотрел на солдата и вспомнил о том как этот солдат третьего дня сжег высушивая на костре свою рубаху и как смеялись над ним
2534	вишь грохочут в пятой роте сказал один солдат
2564	офицер этот стал ходить к пьеру и княжна смеялась над теми нежными чувствами которые выражал итальянец к пьеру
2570	он всё время путешествия испытывал радость школьника на вакации
2570	присутствие и замечания вилларского постоянно жаловавшегося на бедность отсталость от европы невежество россии только возвышали радость пьера
2582	но не это делало ее неузнаваемою ее нельзя было узнать в первую минуту как он вошел потому что на этом лице в глазах которого прежде всегда светилась затаенная улыбка радости жизни теперь когда он вошел и в первый раз взглянул на нее не было и тени улыбки были одни глаза внимательные добрые и печально-вопросительные
2612	она мало говорила о пьере но когда княжна марья упоминала о нем давно потухший блеск зажигался в ее глазах и губы морщились странною улыбкой
2650	николай был хозяин простой не любил нововведений в особенности английских которые входили тогда в моду смеялся над теоретическими сочинениями о хозяйстве не любил заводов дорогих производств посевов дорогих хлебов и вообще не занимался отдельно ни одною частью хозяйства
2650	она не понимала отчего он так радостно переходя от окна к балкону улыбался под усами и подмигивал когда на засыхающие всходы овса выпадал теплый частый дождик или отчего когда в покос или уборку угрожающая туча уносилась ветром он красный загорелый в поту с запахом полыни и горчавки в волосах приходя с гумна радостно потирая руки говорил ну еще денек и мое и крестьянское всё будет в гумне
2668	среди установившегося грустного молчания из соседней комнаты послышались детские смех и голоса
2674	а царствовать стал людовик xviii над которым до тех пор и французы и союзники только смеялись
2692	князь андрей задумчиво улыбался своим мыслям повертывая грациозным женственным жестом обручальное кольцо на безыменном пальце
2692	1080 на всех бледных красных и с красными пятнами молодых лицах выразилась радость при виде пьера который сняв очки и протирая их смотрел на всю эту толпу
2706	как я хохотал сейчас
