text	motif
5	за нею шел хозяин покуривая из маленькой кабардинской трубочки обделанной в серебро
6	солнце закатилось и ночь последовала за днем без промежутка как это обыкновенно бывает на юге но благодаря отливу снегов мы легко могли различать дорогу которая всё еще шла в гору хотя уже не так круто
19	когда он под тобой крутился и прыгал раздувая ноздри и кремни брызгами летели из-под копыт его в моей душе сделалось что-то непонятное и с тех пор всё мне опостылело на лучших скакунов моего отца смотрел я с презрением стыдно было мне на них показаться и тоска овладела мной и тоскуя просиживал я на утесе целые дни и ежеминутно мыслям моим являлся вороной скакун твой с своей стройной поступью с своим гладким прямым как стрела хребтом он смотрел мне в глаза своими бойкими глазами как будто хотел слово вымолвить
20	такой жены и у турецкого падишаха хочешь дождись меня завтра ночью там в ущелье где бежит поток я пойду с нею мимо в соседний аул и она твоя
28	никогда не забуду одной сцены шел я мимо и заглянул в окно бэла сидела на лежанке повесив голову на грудь а григорий александрович стоял перед нею
35	мы тронулись в путь с трудом пять худых кляч тащили наши повозки по извилистой дороге на гуд-гору мы шли пешком сзади подкладывая камни под колеса когда лошади выбивались из сил казалось дорога вела на небо потому что сколько глаз мог разглядеть она всё поднималась и наконец пропадала в облаке которое еще с вечера отдыхало на вершине гуд-горы как коршун ожидающий добычу снег хрустел под ногами нашими воздух становился так редок что было больно дышать кровь поминутно приливала в голову но со всем тем какое-то отрадное чувство распространилось по всем моим жилам и мне было как-то весело что я так высоко над миром чувство детское не спорю но удаляясь от условий общества и приближаясь к природе мы невольно становимся детьми всё приобретенное отпадает от души и она делается вновь такою какой была некогда и верно будет когда-нибудь опять
37	и точно такую панораму вряд ли где еще удастся мне видеть под нами лежала койшаурская долина пересекаемая арагвой и другой речкой как двумя серебряными нитями голубоватый туман скользил по ней убегая в соседние теснины от теплых лучей утра направо и налево гребни гор один выше другого пересекались тянулись покрытые снегами кустарником вдали те же горы но хоть бы две скалы похожие одна на другую и все эти снега горели румяным блеском так весело так ярко что кажется тут бы и остаться жить навеки солнце чуть показалось из-за темно-синей горы которую только привычный глаз мог бы различить от грозовой тучи но над солнцем была кровавая полоса на которую мой товарищ обратил особенное внимание
39	и точно дорога опасная направо висели над нашими головами груды снега готовые кажется при первом порыве ветра оборваться в ущелье узкая дорога частию была покрыта снегом который в иных местах проваливался под ногами в других превращался в лед от действия солнечных лучей и ночных морозов так что с трудом мы сами пробирались лошади падали налево зияла глубокая расселина где катился поток то скрываясь под ледяной корою то с пеною прыгая по черным камням
43	одно утро захожу к ним как теперь перед глазами бэла сидела на кровати в черном шелковом бешмете бледненькая такая печальная что я испугался
45	мы пошли походили по крепостному валу взад и вперед молча наконец она села на дерн и я сел возле нее
45	наконец я ей сказал хочешь пойдем прогуляться на вал погода славная
59	я вывел печорина вон из комнаты и мы пошли на крепостной вал долго мы ходили взад и вперед рядом не говоря ни слова загнув руки за спину его лицо ничего не выражало особенного и мне стало досадно я бы на его месте
65	за нею шел человек с большими усами в венгерке довольно хорошо одетый для лакея в его звании нельзя было ошибиться видя ухарскую замашку с которой он вытряхивал золу из трубки и покрикивал на ямщика
66	коли пойдешь так скажи что здесь максим максимыч так и скажи уж он знает я тебе дам восьмигривенный на водку лакей сделал презрительную мину слыша такое скромное обещание однако уверил максима максимыча
67	сказал мне максим максимыч с торжествующим видом пойду за ворота его дожидаться эх жалко что я не знаком с н максим максимыч сел за воротами на скамейку а я ушел в свою комнату
69	он шел с полковником н который доведя его до гостиницы простился с ним и поворотил в крепость
72	я обернулся к площади и увидал максима максимыча бегущего что было мочи через несколько минут он был уже возле нас он едва мог дышать пот градом катился с лица его мокрые клочки седых волос вырвавшись из-под шапки приклеились ко лбу его колена его дрожали он хотел кинуться на шею печорину но тот довольно холодно хотя с приветливой улыбкой протянул ему руку
76	тут он отвернулся чтоб скрыть свое волнение и пошел ходить по двору около своей повозки показывая будто осматривает колеса тогда как глаза его поминутно наполнялись слезами
84	я с трудом спускаясь пробирался по крутизне и вот вижу слепой приостановился потом повернул низом направо он шел так близко от воды что казалось сейчас волна его схватит и унесет но видно это была не первая его прогулка судя по уверенности с которой он ступал с камня на камень и избегал рытвин
87	полюбовавшись несколько времени из окна на голубое небо усеянное разорванными облачками на дальний берег крыма который тянется лиловой полосой и кончается утесом на вершине коего белеется маячная башня я отправился в крепость фанагорию чтоб узнать от коменданта о часе моего отъезда в геленджик
89	я завернулся в бурку и сел у забора на камень поглядывая в даль передо мной тянулось ночною бурею взволнованное море и однообразный шум его подобный ропоту засыпающего города напомнил мне старые годы перенес мои мысли на север в нашу холодную столицу
91	она остановилась и пристально посмотрела мне в глаза как будто удивленная моим присутствием потом небрежно обернулась и тихо пошла к пристани
94	тяжелые волны мерно и ровно катились одна за другой едва приподымая одинокую лодку причаленную к берегу
98	я его оставил в покое взял свечу и пошел в хату
99	литературный музей москва 32 11-го мая в 33 опустясь в середину города я пошел бульваром где встретил несколько печальных групп медленно подымающихся в гору то были большею частию семейства степных помещиков об этом можно было тотчас догадаться по истертым старомодным сертукам мужей и по изысканным нарядам жен и дочерей видно у них вся водяная 34 жены местных властей так сказать хозяйки вод были благосклоннее у них есть лорнеты они менее обращают внимания на мундир они привыкли на кавказе встречать под нумерованной пуговицей пылкое сердце и под белой фуражкой образованный ум
