text	motif
2	в тот час когда уж кажется и сил не было дышать когда солнце раскалив москву в сухом тумане валилось куда-то за садовое кольцо никто не пришел под липы никто не сел на скамейку пуста была аллея
3	этого никогда не было сердце шалит я переутомился пожалуй пора бросить все к черту и в кисловодск и тут знойный воздух сгустился перед ним и соткался из этого воздуха прозрачный гражданин престранного вида
4	ты знаешь иван у меня сейчас едва удар от жары не сделался
8	он остановил взор на верхних этажах ослепительно отражающих в стеклах изломанное и навсегда уходящее от михаила александровича солнце затем перевел его вниз где стекла начали предвечерне темнеть чему-то снисходительно усмехнулся прищурился руки положил на набалдашник а подбородок на руки
25	крысобой был на голову выше самого высокого из солдат легиона и настолько широк в плечах что совершенно заслонил еще невысокое солнце
32	пилат поднял мученические глаза на арестанта и увидел что солнце уже довольно высоко стоит над гипподромом что луч пробрался в колоннаду и подползает к стоптанным сандалиям иешуа что тот сторонится от солнца
32	пилат поднял мученические глаза на арестанта и увидел что солнце уже довольно высоко стоит над гипподромом что луч пробрался в колоннаду и подползает к стоптанным сандалиям иешуа что тот сторонится от солнца
35	и в этом ты ошибаешься светло улыбаясь и заслоняясь рукой от солнца возразил арестант
41	не знает что случилось с прокуратором иудеи но он позволил себе поднять руку как бы заслоняясь от солнечного луча и за этой рукой как за щитом послать арестанту какой-то намекающий взор
46	приказание прокуратора было исполнено быстро и точно и солнце с какою-то необыкновенною яростью сжигавшее в эти дни ершалаим не успело еще приблизиться к своей наивысшей точке когда на верхней террасе
47	но выйдя из-под колоннады на заливаемую солнцем верхнюю площадь сада с пальмами на чудовищных слоновых ногах площадь с которой перед прокуратором развернулся весь ненавистный ему ершалаим с висячими мостами крепостями и самое главное с не поддающейся никакому описанию глыбой мрамора с золотою драконовой чешуею вместо крыши храмом ершалаимским острым слухом уловил прокуратор далеко и внизу там где каменная стена отделяла нижние террасы дворцового сада от городской площади низкое ворчание над которым взмывали по временам слабенькие тонкие не то стоны не то крики
48	начал с того что пригласил первосвященника на балкон с тем чтобы укрыться от безжалостного зноя но каифа вежливо извинился и объяснил что сделать этого не может в канун праздника
51	этого не понял прокуратор но мысль об этом загадочном бессмертии заставила его похолодеть на солнцепеке
57	щурился прокуратор не оттого что солнце жгло ему глаза нет
59	пилат задрал голову и уткнул ее прямо в солнце
60	тут ему показалось что солнце зазвенев лопнуло над ним и залило ему огнем уши
63	поднимая до неба пыль ала ворвалась в переулок и мимо пилата последним проскакал солдат с пылающей на солнце трубою за спиной
70	тут у самого выхода на бронную со скамейки навстречу редактору поднялся в точности тот самый гражданин что тогда при свете солнца вылепился из жирного зноя
70	тут у самого выхода на бронную со скамейки навстречу редактору поднялся в точности тот самый гражданин что тогда при свете солнца вылепился из жирного зноя
144	некоторое время он соображал каким это образом он попал в неизвестную комнату с белыми стенами с удивительным ночным столиком из какого-то светлого металла и с белой шторой за которой чувствовалось солнце
145	женщина же тем временем не теряя благодушного выражения лица при помощи одного нажима кнопки увела штору вверх и в комнату через широкопетлистую и легкую решетку доходящую до самого пола хлынуло солнце
160	за сеткой в окне в полуденном солнце красовался радостный и весенний бор на другом берегу а поближе сверкала река
199	11 раздвоение ивана бор на противоположном берегу реки еще час назад освещенный майским солнцем помутнел размазался и растворился
207	рукоплескания потрясли здание голубой занавес пошел с двух сторон и закрыл велосипедистов зеленые огни с надписью выход у дверей погасли и в паутине трапеций под куполом как солнце зажглись белые шары
248	майское солнце светило нам
288	все люди как люди ходят сейчас по улицам наслаждаются весенним солнцем и теплом а вы здесь на полу торчите в душном зале
304	но они вскоре умолкли и ему стало сниться что солнце уже снижалось над лысой горой и была эта гора оцеплена двойным оцеплением глава
305	16 казнь солнце уже снижалось над лысой горой и была эта гора оцеплена двойным оцеплением
306	процессия солдатскою цепью а за нею уже шло около двух тысяч любопытных не испугавшихся адской жары и желавших присутствовать при интересном зрелище
306	итак прошло со времени подъема процессии на гору более трех часов и солнце уже снижалось над лысой горой но жар еще был невыносим и солдаты в обоих оцеплениях страдали от него томились от скуки и в душе проклинали трех разбойников искренне желая им скорейшей смерти
307	ведра пустели быстро и кавалеристы из разных взводов по очереди отправлялись за водой в балку под горой где в жидкой тени тощих тутовых дерев доживал свои дни на этой дьявольской жаре мутноватый ручей
307	под этими шалашами и скрывались от безжалостного солнца сирийцы
308	но и их сморила жара и они легли высунув языки тяжело дыша и не обращая никакого внимания на зеленоспинных ящериц единственных существ не боящихся солнца и шныряющих меж раскаленными камнями и какими-то вьющимися по земле растениями с большими колючками
308	но и их сморила жара и они легли высунув языки тяжело дыша и не обращая никакого внимания на зеленоспинных ящериц единственных существ не боящихся солнца и шныряющих меж раскаленными камнями и какими-то вьющимися по земле растениями с большими колючками
308	солнце сожгло толпу и погнало ее обратно в ершалаим
309	солнце било прямо в кентуриона не причиняя ему никакого вреда и на львиные морды нельзя было взглянуть глаза выедал ослепительный блеск как бы вскипавшего на солнце серебра
309	солнце било прямо в кентуриона не причиняя ему никакого вреда и на львиные морды нельзя было взглянуть глаза выедал ослепительный блеск как бы вскипавшего на солнце серебра
