text	motif
32	и опять померещилась ему чаша с темной жидкостью
38	крылья ласточки фыркнули над самой головой игемона птица метнулась к чаше фонтана и вылетела
77	две каких-то девицы шарахнулись от него в сторону и он услышал слово пьяный
77	пьяный
118	а тут еще алкоголизм рюхин ничего не понял из слов доктора кроме того что дела ивана николаевича видно плоховаты вздохнул и спросил а что это он все про какого-то консультанта говорит
122	в тюбетейке и с бокалом абрау в руке
122	через четверть часа рюхин в полном одиночестве сидел скорчившись над рыбцом пил рюмку за
123	рюмкой понимая и признавая что исправить в его жизни уже ничего нельзя а можно только забыть
125	анна францевна де фужере пятидесятилетняя почтенная и очень деловая дама три комнаты
125	еще два года назад владелицей ее была вдова ювелира де фужере
130	простите прохрипел степа чувствуя что похмелье дарит его новым симптомом ему показалось что пол возле кровати ушел куда-то и что сию минуту он головой вниз полетит к чертовой матери в преисподнюю
131	особенно поразило степу то что графин запотел от холода
131	прыгающей рукой поднес степа стопку к устам а незнакомец одним духом
131	единственно что вернет вас к жизни это две стопки водки с острой и горячей закуской
131	степа тараща глаза увидел что на маленьком столике сервирован поднос на коем имеется нарезанный белый хлеб паюсная икра в вазочке белые маринованные грибы на тарелочке что-то в кастрюльке и наконец водка в объемистом ювелиршином графинчике
132	проглотил содержимое своей стопки
140	тут кот выпил водку и степина рука поползла по притолоке вниз
140	но оказались в спальне вещи и похуже на ювелиршином пуфе в развязной позе развалился некто третий именно жутких размеров черный кот со стопкой водки в одной лапе и вилкой на которую он успел поддеть маринованный гриб в другой
166	как-нибудь за рюмкой я вам расскажу несколько фактов из моей биографии вы обхохочетесь
177	рассказывали что на никаноре ивановиче лица не было что он пошатывался проходя как пьяный и что-то бормотал
177	пьяный
178	убранство кабинета помимо письменного стола заключалось в пачке старых афиш висевших на стене маленьком столике с графином воды в четырех креслах и в подставке в углу на которой стоял запыленный давний макет какого-то обозрения
185	он и по кабинету пробежался и дважды вздымал руки как распятый и выпил целый стакан
186	желтоватой воды из графина и восклицал не понимаю
191	поехал туда напился и теперь оттуда телеграфирует
191	поехал туда напился и теперь оттуда телеграфирует
210	неожиданно поднявшись с дивана он на задних лапах подошел к подзеркальному столику передней лапой вытащил пробку из графина налил воды в стакан выпил ее водрузил пробку на место и гримировальной
210	неожиданно поднявшись с дивана он на задних лапах подошел к подзеркальному столику передней лапой вытащил пробку из графина налил воды в стакан выпил ее водрузил пробку на место и гримировальной
258	я кинулся в переднюю и там зажег свет нашел бутылку белого вина откупорил ее и стал пить вино из горлышка
268	наставала пора действовать приходилось пить горькую чашу ответственности
272	напоил пушкинского телеграфиста и начали оба безобразничать в том числе посылать телеграммы с пометкой ялта
272	напоил пушкинского телеграфиста и начали оба безобразничать в том числе посылать телеграммы с пометкой ялта
273	чего стоила хотя бы пьяная пляска в обнимку с телеграфистом на лужайке перед пушкинским телеграфом под звуки какой-то праздношатающейся гармоники
273	разбитие восьми бутылок белого сухого
274	не было пьяного телеграфиста не было разбитого стекла в трактире степу не вязали веревками ничего этого не было
335	минут через пять смотрю вместо червонца бумажка с нарзанной бутылки
367	на парчовой скатерти стояло множество бутылок пузатых заплесневевших и пыльных
367	между бутылками поблескивало
370	падая он поддел ногой другую скамеечку стоявшую перед ним и с нее опрокинул себе на брюки полную чашу красного вина
372	совсем худо заключил хозяин что-то воля ваша недоброе таится в мужчинах избегающих вина игр общества прелестных женщин застольной беседы
376	пьяный
376	буфетчик протиснулся в дверь пискнул до свидания и пошел как пьяный
377	пьяный
382	снимая халат профессор глянул на то место где буфетчик оставил червонцы и увидел что никаких червонцев там нет а лежат три этикетки с бутылок абрау-дюрсо
385	пьяный
385	паскудный воробушек припадал на левую лапку явно кривлялся волоча ее работал синкопами одним словом приплясывал фокстрот под звуки патефона как пьяный у стойки
445	козлоногий поднес ей бокал с шампанским она выпила его и сердце ее сразу согрелось
445	козлоногий поднес ей бокал с
475	возле них метались негры в алых повязках серебряными черпаками наполняя из бассейнов плоские чаши
475	возле них метались негры в алых повязках серебряными черпаками наполняя из бассейнов плоские чаши
479	молодые люди спутники азазелло улыбаясь безжизненными но приветливыми улыбками уже теснили господина жака с супругой в сторону к чашам с шампанским которые негры держали в руках
479	уже теснили господина жака с супругой в сторону к чашам с шампанским которые негры держали в руках
481	бокал шампанского
481	бокал шампанского
487	два пьяных вампира все
487	два пьяных вампира все
489	выскакивали из бассейна совершенно пьяными
489	во всей этой кутерьме запомнилось одно совершенно пьяное женское
489	выскакивали из бассейна совершенно пьяными
490	через несколько секунд бассейн был полон и кот трижды перевернувшись в воздухе обрушился в колыхающийся коньяк
490	через несколько секунд бассейн был полон и кот трижды перевернувшись в воздухе обрушился в колыхающийся коньяк
494	я слышу в этой гробовой тишине как скрипят его лакированные туфли и как звенит бокал который он поставил на стол последний раз в этой жизни выпив шампанское
